Shakespeare dataset already prepared.
Starting training...
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: n_layer = 6
Overriding: n_head = 6
Overriding: n_embd = 384
Overriding: block_size = 256
Overriding: batch_size = 64
Overriding: dropout = 0.2
Overriding: learning_rate = 0.001
Overriding: max_iters = 5000
Overriding: out_dir = out-shakespeare-char
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2668, time 2568.31ms, mfu -100.00%
iter 10: loss 3.1461, time 7.00ms, mfu 53.26%
iter 20: loss 2.7395, time 6.96ms, mfu 53.28%
iter 30: loss 2.6179, time 6.99ms, mfu 53.29%
iter 40: loss 2.5737, time 6.96ms, mfu 53.31%
iter 50: loss 2.5248, time 6.95ms, mfu 53.34%
iter 60: loss 2.5092, time 6.90ms, mfu 53.41%
iter 70: loss 2.4908, time 6.89ms, mfu 53.48%
iter 80: loss 2.4964, time 6.90ms, mfu 53.53%
iter 90: loss 2.4610, time 6.91ms, mfu 53.57%
iter 100: loss 2.4579, time 6.93ms, mfu 53.59%
iter 110: loss 2.4553, time 6.91ms, mfu 53.63%
iter 120: loss 2.4283, time 6.95ms, mfu 53.63%
iter 130: loss 2.4065, time 6.97ms, mfu 53.61%
iter 140: loss 2.4102, time 6.94ms, mfu 53.62%
iter 150: loss 2.4100, time 6.91ms, mfu 53.65%
iter 160: loss 2.3824, time 6.89ms, mfu 53.70%
iter 170: loss 2.3494, time 6.93ms, mfu 53.71%
iter 180: loss 2.3126, time 6.95ms, mfu 53.70%
iter 190: loss 2.2481, time 6.94ms, mfu 53.70%
iter 200: loss 2.2257, time 6.90ms, mfu 53.74%
iter 210: loss 2.1418, time 6.97ms, mfu 53.71%
iter 220: loss 2.1399, time 6.88ms, mfu 53.75%
iter 230: loss 2.0700, time 6.97ms, mfu 53.72%
